,Metric,Log_R,DT,RF,KNN,NB,GB,AB
0,Accuracy,0.7467532467532467,0.7662337662337663,0.7207792207792207,0.6623376623376623,0.7662337662337663,0.7402597402597403,0.7337662337662337
1,Precision,0.6379310344827587,0.6507936507936508,0.6071428571428571,0.5245901639344263,0.6610169491525424,0.6271186440677966,0.625
2,F1 Score,0.6548672566371682,0.6949152542372882,0.6126126126126126,0.5517241379310345,0.6842105263157895,0.6491228070175439,0.6306306306306306
3,Recall,0.6727272727272727,0.7454545454545455,0.6181818181818182,0.5818181818181818,0.7090909090909091,0.6727272727272727,0.6363636363636364
4,ROC AUC,0.7303030303030302,0.7616161616161616,0.697979797979798,0.6444444444444444,0.7535353535353535,0.7252525252525254,0.712121212121212
