,Metric,Log_R,DT,RF,KNN,NB,GB,AB
0,Accuracy,0.7467532467532467,0.7727272727272727,0.7402597402597403,0.6623376623376623,0.7662337662337663,0.7467532467532467,0.7337662337662337
1,Precision,0.6379310344827587,0.6612903225806451,0.6363636363636364,0.5245901639344263,0.6610169491525424,0.6379310344827587,0.625
2,F1 Score,0.6548672566371682,0.7008547008547008,0.6363636363636364,0.5517241379310345,0.6842105263157895,0.6548672566371682,0.6306306306306306
3,Recall,0.6727272727272727,0.7454545454545455,0.6363636363636364,0.5818181818181818,0.7090909090909091,0.6727272727272727,0.6363636363636364
4,ROC AUC,0.7303030303030302,0.7666666666666666,0.7171717171717171,0.6444444444444444,0.7535353535353535,0.7303030303030302,0.712121212121212
