,Metric,Log_R,DT,RF,KNN,NB,GB,AB
0,Accuracy,0.7467532467532467,0.7467532467532467,0.7597402597402597,0.6623376623376623,0.7662337662337663,0.7402597402597403,0.7337662337662337
1,Precision,0.6379310344827587,0.6290322580645161,0.6607142857142857,0.5245901639344263,0.6610169491525424,0.6271186440677966,0.625
2,F1 Score,0.6548672566371682,0.6666666666666666,0.6666666666666666,0.5517241379310345,0.6842105263157895,0.6491228070175439,0.6306306306306306
3,Recall,0.6727272727272727,0.7090909090909091,0.6727272727272727,0.5818181818181818,0.7090909090909091,0.6727272727272727,0.6363636363636364
4,ROC AUC,0.7303030303030302,0.7383838383838384,0.7404040404040404,0.6444444444444444,0.7535353535353535,0.7252525252525254,0.712121212121212
